image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,1,21.627723418485125,0.5337859822160145
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,2,23.366346624722723,0.6722417025863193
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,3,24.443243767075735,0.7614355810404867
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,4,24.98687631180711,0.7950119858451975
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,5,25.249546692307728,0.8208771927174805
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,6,25.386557837438573,0.8403274320849785
astronaut,test,0.04,0.041259765625,0.0,2026,admm,1,21.481241068564138,0.5179278890434865
astronaut,test,0.04,0.041259765625,0.0,2026,admm,2,23.624495118233767,0.7026519715525801
astronaut,test,0.04,0.041259765625,0.0,2026,admm,3,24.627264433533025,0.7928091947136382
astronaut,test,0.04,0.041259765625,0.0,2026,admm,4,24.996715686228082,0.8140643655955168
astronaut,test,0.04,0.041259765625,0.0,2026,admm,5,25.201206099706262,0.828640854904376
astronaut,test,0.04,0.041259765625,0.0,2026,admm,6,25.3651529604447,0.8388312026698646
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,1,24.422009736417944,0.6718135006868718
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,2,26.89681679749523,0.8100278077533245
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,3,28.36907466436166,0.8971937305979729
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,4,29.102148540194158,0.9195151973540783
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,5,29.53685194155163,0.9314784766063691
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,6,29.85875459112193,0.940031016061306
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,1,24.211765248370952,0.6520020334584415
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,2,27.332635653732893,0.8435791710958481
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,3,28.555300893317877,0.9116834720795155
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,4,29.00017997404925,0.9162675718920231
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,5,29.52131405042982,0.9288509003720283
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,6,29.92464038120361,0.9400945543122291
astronaut,test,0.25,0.25,0.0,2026,hqs,1,27.943797748464686,0.8017220798012018
astronaut,test,0.25,0.25,0.0,2026,hqs,2,31.169930722604903,0.9100960706810951
astronaut,test,0.25,0.25,0.0,2026,hqs,3,33.48776949913999,0.9638307790861129
astronaut,test,0.25,0.25,0.0,2026,hqs,4,35.00901987450383,0.9764435465421677
astronaut,test,0.25,0.25,0.0,2026,hqs,5,35.98675977257259,0.9814336620025634
astronaut,test,0.25,0.25,0.0,2026,hqs,6,36.650027649711106,0.9849839056930542
astronaut,test,0.25,0.25,0.0,2026,admm,1,27.69093867605221,0.7846985515440702
astronaut,test,0.25,0.25,0.0,2026,admm,2,31.951365389872052,0.9358824477167129
astronaut,test,0.25,0.25,0.0,2026,admm,3,33.92448598664666,0.9667636510744095
astronaut,test,0.25,0.25,0.0,2026,admm,4,34.78291242962291,0.9673671053171158
astronaut,test,0.25,0.25,0.0,2026,admm,5,35.85923818442346,0.9766721725597381
astronaut,test,0.25,0.25,0.0,2026,admm,6,36.6296191037259,0.9847228881149293
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,1,31.705162823359814,0.8827539146187305
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,2,35.67005869022481,0.9566201737823486
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,3,38.86617714731478,0.9856042317504883
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,4,41.04544549777784,0.9918030948314667
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,5,42.403669102017616,0.9939789222488403
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,6,43.37065921052976,0.9953512039041519
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,1,31.399635687167976,0.870269197562933
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,2,36.83475044839056,0.9729948171100616
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,3,39.39907030748063,0.9856584384746552
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,4,40.16427016624951,0.984707877412796
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,5,41.87332235521125,0.9904651544160843
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,6,43.36005749374169,0.9952193306016922
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,1,24.39679787932578,0.6705386248910427
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,2,26.83904740608441,0.8077502177418471
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,3,28.260487582038976,0.8939020350050926
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,4,28.902317647657032,0.9154072577426433
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,5,29.223127415680107,0.9265866486039162
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,6,29.371199620589717,0.9306598880751134
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,1,24.190213673767936,0.650925999963995
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,2,27.253102185657255,0.8402798155853748
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,3,28.393804136392205,0.9071249047117234
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,4,28.738589363039324,0.9098353227288724
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,5,29.133998899147812,0.9190532786428929
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,6,29.47288362837393,0.9331920383245945
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,1,24.404458173073106,0.6703977838681694
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,2,26.852243027953463,0.8080805634649992
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,3,28.261225071866786,0.8937264661090374
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,4,28.903565555260595,0.9148991534426212
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,5,29.22826834018555,0.9257201365807056
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,6,29.394905322579543,0.9304788159244061
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,1,24.195114460239836,0.6506121513161846
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,2,27.258538428351677,0.8402768873403073
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,3,28.383943849685338,0.9068348252017499
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,4,28.724908256773162,0.9096566079108716
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,5,29.133325129609233,0.9195114015901089
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,6,29.48673656675304,0.933039693731308
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,1,24.404089513814327,0.6704551567153875
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,2,26.857624107905117,0.8077468729887008
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,3,28.280699165283544,0.893060504034996
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,4,28.942758628036763,0.9151989166870117
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,5,29.277195915571813,0.9267623667361736
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,6,29.42979774575994,0.9320337759017945
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,1,24.19420186343348,0.6507752694182428
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,2,27.26982635726224,0.839444805590868
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,3,28.404410331575995,0.9066573871276379
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,4,28.74986590349089,0.9094947209351063
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,5,29.16428959811809,0.9191160347390175
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,6,29.522986889758023,0.9340852654151917
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,1,23.876012282783535,0.6389187873343241
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,2,25.63171729654652,0.7504103453462477
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,3,26.08229299746587,0.7889125872061997
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,4,26.041917921713406,0.7982347233780771
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,5,25.85195118574189,0.7990396589209139
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,6,25.425760475211703,0.7771329454703331
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,1,23.714362393103304,0.6229862027353672
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,2,25.725432657099283,0.7627162104524001
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,3,25.632170909852846,0.7704854289537072
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,4,25.396478062748336,0.7634529185662567
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,5,25.368218894485175,0.7591226347222407
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,6,25.715001295448687,0.7921787079920098
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,1,23.932661991633243,0.6391990854077115
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,2,25.71155112866727,0.7520096158129722
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,3,26.12771642364006,0.788035338616658
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,4,26.126113242441086,0.7976348922743202
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,5,25.964450920133753,0.7975257411252856
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,6,25.519694343286737,0.7751433289965988
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,1,23.75909840742009,0.6222108355941847
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,2,25.777643978871644,0.7629473446076848
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,3,25.651328018571572,0.7711949079661369
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,4,25.439300348624414,0.7643719260543436
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,5,25.44153623402388,0.7605644673597077
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,6,25.773416501067558,0.7901018406973853
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,1,23.912181549292036,0.637674946294797
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,2,25.727880418453083,0.748505188613385
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,3,26.171843439778037,0.7828668193483352
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,4,26.171081997646397,0.7951835600699783
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,5,26.021870316425115,0.798754745161131
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,6,25.580041478637526,0.7775738827246409
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,1,23.74070337021706,0.6219330849086423
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,2,25.809613374733576,0.7587529099205286
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,3,25.69676639683706,0.7660751196679696
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,4,25.487485108226664,0.7609418749326468
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,5,25.499588812086643,0.760150809444815
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,6,25.85256309831312,0.792850280031532
coins,test,0.01,0.01031494140625,0.0,2026,hqs,1,20.901310434576096,0.47880334986467193
coins,test,0.01,0.01031494140625,0.0,2026,hqs,2,21.962240033271655,0.5687706283755375
coins,test,0.01,0.01031494140625,0.0,2026,hqs,3,22.764417144412995,0.6186837177867389
coins,test,0.01,0.01031494140625,0.0,2026,hqs,4,23.226353639613627,0.6426290209676855
coins,test,0.01,0.01031494140625,0.0,2026,hqs,5,23.452429379116357,0.6535297368473838
coins,test,0.01,0.01031494140625,0.0,2026,hqs,6,23.64224089254421,0.6639726438331074
coins,test,0.01,0.01031494140625,0.0,2026,admm,1,20.823078118589862,0.4694058834631121
coins,test,0.01,0.01031494140625,0.0,2026,admm,2,22.083119627963338,0.5852822510846247
coins,test,0.01,0.01031494140625,0.0,2026,admm,3,22.894323087344265,0.6302266826854979
coins,test,0.01,0.01031494140625,0.0,2026,admm,4,23.30262775671081,0.6488710765098558
